,Bleu_1,Bleu_2,Bleu_3,Bleu_4,CIDEr,METEOR,ROUGE_L,val_loss
0,0.9284155835112404,0.9195354647458477,0.9154832867061033,0.9130663581154559,0.0,0.6664897511746575,0.9542144081301539,0.2866496754959051
1,0.9132776605256399,0.9060506583512982,0.9026177812625426,0.9004727472263427,0.0,0.6710715027973644,0.9469529211453764,0.4130386508892045
2,0.9274407339992794,0.9182461995164799,0.9139613696351254,0.9114246061048271,0.0,0.6649436038126839,0.9525276293894562,0.2918211022802822
3,0.928917529665058,0.9198787404092099,0.9158720443724785,0.9134373273067654,0.0,0.6688841789149167,0.9534619330335737,0.27595386383304843
4,0.9304116905894593,0.9212969263547126,0.9171393284496905,0.9145784040192969,0.0,0.670245291479194,0.9539982006567028,0.27206467874445733
5,0.9304508707528375,0.9210490243455685,0.9168955951534344,0.9143682187803894,0.0,0.6678628455853994,0.953702547438987,0.26950203232514763
6,0.931274897076637,0.9217206504582591,0.9175071690242644,0.9149865825030343,0.0,0.670162570450228,0.9544084208269265,0.26738294669713397
7,0.9313635214276254,0.9220592671415415,0.9179173426674567,0.9154256791758024,0.0,0.6706264676769514,0.9545687612970856,0.26603375367259835
8,0.9311899070032399,0.9219682734203449,0.9177912876841425,0.9152686858102206,0.0,0.6702794691584258,0.9544513848470368,0.2646849925468847
9,0.931204177185785,0.9220998914665738,0.9180014799613219,0.9155081574671359,0.0,0.6718053615173587,0.9549516625241788,0.26352622132909787
10,0.9299416164005817,0.921172426654707,0.9171530161681953,0.9146830973261038,0.0,0.6715580254217148,0.9540493039427118,
